server,busy time
station1server1,0.36494875443773866
station1server2,0.15546235402226524
station1server3,0.031176602200016886
station2server1,0.585206331136697
station2server2,0.39538021225383296
station2server3,0.1976451089864515
station3server1,0.35840744958306575
station3server2,0.14867473682810403
station3server3,0.03828441312885169
station3server4,0.005693297767653584
station4server1,0.5526088968249836
station4server2,0.3738174468809762
station4server3,0.18969127826272877
station5server1,0.5306232065700446
station5server2,0.3370128595067795
station5server3,0.14337319170187526
