server,busy time
station1server1,0.3474142709619715
station1server2,0.13844984749998562
station1server3,0.02764316459064808
station2server1,0.5599825040817359
station2server2,0.3660854914049658
station2server3,0.1794614309314257
station2server4,0.05461748121560504
station2server5,0.010458214819932803
station2server6,0.0013851654914538928
station2server7,9.511046903536888e-05
station2server8,0.0
station3server1,0.3465934514070903
station3server2,0.1404188430324878
station3server3,0.032408695709071934
station3server4,0.004679341281366103
station4server1,0.5307276137401321
station4server2,0.34833269494844354
station4server3,0.16941469758821265
station5server1,0.9810486402132815
