server,busy time
station1server1,0.36247574812224026
station1server2,0.14714333440309618
station1server3,0.030701210372183416
station2server1,0.9884799606607201
station3server1,0.35858505534976925
station3server2,0.14781437814578366
station3server3,0.034665480679233536
station3server4,0.0045207867144617265
station4server1,0.5892157707785813
station4server2,0.3037905593604131
station4server3,0.10600576855989959
station5server1,0.6712635027557132
station5server2,0.5199494430817417
station5server3,0.09447434692672117
station5server4,5.724117965073529e-05
station5server5,0.0
station5server6,0.0
station5server7,0.0
station5server8,0.0
