,cycle time,objective function,utilisation
0,57.55212956006749,-2.154495322712819,0.31136974820472774
1,57.5287838746993,-2.121304082010936,0.30801171465892574
2,57.34271092384561,-2.1916905304373575,0.31474023791681177
3,57.57226851194973,-2.020010690470622,0.29795484990031174
4,56.5218612371434,-2.099510909527897,0.3041541930146954
5,57.549707063345465,-2.1244068314554823,0.3083568615844573
6,57.418341851085174,-2.0652354254734293,0.3022207789658182
7,56.91829173924585,-2.0482514500655573,0.2996889645719655
8,56.823688692833535,-2.107750531248758,0.305481200946265
9,56.40600580497558,-2.0858781393803896,0.30259782361299825
10,57.206888229590646,-2.0653727156000667,0.3018820852759911
11,57.10414710548991,-2.0779065018406433,0.3029642286932142
12,56.92475509361783,-2.1350425000550786,0.30837884182820424
13,57.25856841863674,-2.114150662447958,0.30684601360919034
14,57.375183520348074,-2.0678914991626023,0.302414455783507
15,56.52318760740891,-2.1999876079885565,0.3142040734778705
16,57.23804498282659,-2.0446580653942577,0.29986254817747005
17,57.11267642476218,-2.1048503855379845,0.3056728325950687
18,56.688726543995884,-1.989945309199415,0.2934757418266013
19,57.08129286229165,-2.008240343344061,0.29595952243822554
20,57.8927388649338,-2.1290489861204644,0.3093927967202694
21,57.568663066030815,-2.153278233080404,0.31127559508475844
22,57.77069866322234,-2.0832756228302025,0.3046120600550575
23,57.26445117587377,-2.123018437555573,0.3077425957153469
24,57.47085726204127,-2.005034519329183,0.29628821403632044
25,56.84219631073943,-2.1254910145026367,0.3072860953014961
26,57.99120465725091,-2.11225640023626,0.30787764778571086
27,56.915238192843965,-2.0305654156408637,0.297915271885493
28,57.23456208444961,-2.105906561866828,0.30598159299409877
29,56.49823135086648,-1.9658232764399406,0.2907460465621049
30,57.3832106031456,-2.1325394636863613,0.3088926307072121
31,56.11420030437377,-2.063374903258156,0.2998611574997719
