server,busy time
station1server1,0.3739852377898984
station1server2,0.15482579707050473
station1server3,0.03319904199507284
station2server1,0.5885959938229461
station2server2,0.39817349998388035
station2server3,0.20205704951710482
station3server1,0.3653881487430157
station3server2,0.15295913791161833
station3server3,0.03751480839340518
station3server4,0.004818890431848754
station4server1,0.5592056877074741
station4server2,0.37649803265547227
station4server3,0.19205860126499238
station5server1,0.6009845018807503
station5server2,0.43408496217687104
station5server3,0.23448693808625842
