server,busy time
station1server1,0.3775860124340625
station1server2,0.15670980851078284
station1server3,0.03243366995178223
station2server1,0.5754270862596922
station2server2,0.38074582931036155
station2server3,0.18453359636053066
station2server4,0.054820093327548065
station2server5,0.011315350777587455
station2server6,0.0011105667377422244
station2server7,0.00010304965065478894
station2server8,0.0
station3server1,0.36784601877286216
station3server2,0.15407829743180734
station3server3,0.03806515519225101
station3server4,0.005682141097186994
station4server1,0.5590195251797165
station4server2,0.37884084788124334
station4server3,0.1978714086594004
station5server1,0.5245341888261685
station5server2,0.3317235744212339
station5server3,0.1410195932098838
station5server4,0.03449110200128156
station5server5,0.004609726650347103
station5server6,0.000314556645766044
station5server7,9.42882415267185e-05
station5server8,0.0
