server,busy time
station1server1,0.3630315543734103
station1server2,0.14854542071327176
station1server3,0.032022508511139934
station2server1,0.5619597618014547
station2server2,0.36737987368436
station2server3,0.17690855058997698
station2server4,0.05400412211546198
station2server5,0.010025597065885869
station2server6,0.0009332269334191479
station2server7,0.0
station2server8,0.0
station3server1,0.35654973472281326
station3server2,0.14539304416581575
station3server3,0.03594957595083915
station3server4,0.004894222197183098
station4server1,0.549083530413357
station4server2,0.3684758417203203
station4server3,0.18757997226162812
station5server1,0.9735783108489788
