,cycle time,objective function,utilisation
0,60.52216629691249,-1.073919180719764,0.20826219523349723
1,60.42663851855364,-1.1307107601989552,0.21378214021748493
2,59.36841823881131,-1.0304621039301463,0.2019935741243668
3,60.05161713000255,-1.0580630302961451,0.20589233157961875
4,59.75563648199501,-1.0782458553052978,0.20741731300052146
5,59.52599961381042,-1.0774463087927955,0.20695463023563027
6,60.24295430761957,-1.088148251970486,0.20921974904308122
7,60.28163816076224,-1.1355560711375379,0.2140250040483575
8,60.1517248241351,-1.1515779916624018,0.215410673873132
9,59.74317336217397,-1.1313109708346705,0.21270305268709033
10,60.470567305316784,-0.9970202680484144,0.20048630564703607
11,60.40010386747881,-1.1290872381709924,0.2135755635962306
12,60.012752983670545,-1.0813354610839936,0.20815480108118362
13,60.15954269865179,-1.035923678418986,0.2038582723396516
14,60.53485442031572,-1.0802600023069366,0.2089174242645532
15,60.174314968172425,-1.0801017421493844,0.20830069916189248
16,60.186122713484686,-1.1204361343255023,0.2123538179550247
17,60.367844337906924,-1.0602489479019261,0.20663796868670414
18,59.312612600363394,-1.1078535895890762,0.2096397132928466
19,59.424909176819554,-1.0841551237833338,0.20745702767303262
20,60.14764543554478,-1.0924981198823651,0.20949588771414449
21,60.17382865565128,-1.100271716360316,0.21031688606211704
22,60.514727633036586,-1.0476592285752058,0.20562380224591487
23,59.81809029150425,-0.9886294315227345,0.19855976030478054
24,59.898443284905284,-1.096120260132527,0.20944276482142818
25,59.6632661581707,-1.0692060100619698,0.2063593779364815
26,60.3138638985385,-1.08700265851485,0.20922337234904917
27,59.60015265048572,-1.1272391703121967,0.21205750478202917
28,59.93938791405224,-1.0543289564987859,0.20533187550663232
29,60.67253914343828,-1.162044041889113,0.2173253027613084
30,59.93934763510726,-1.0573015111991877,0.20562906384509755
31,59.79556688086554,-1.1113431410892378,0.2107935922436997
