server,busy time
station1server1,0.3705032359581123
station1server2,0.15314381232349847
station1server3,0.035137678611823944
station2server1,0.5727012243514038
station2server2,0.3736143622042902
station2server3,0.18395526487929678
station2server4,0.05401354213549755
station2server5,0.009292552771555551
station2server6,0.0009649543275725801
station2server7,0.00014587284525035174
station2server8,5.193741027077967e-05
station3server1,0.36889556171695786
station3server2,0.14989319063646972
station3server3,0.036521291802070956
station3server4,0.005596164642209229
station4server1,0.5577413118833995
station4server2,0.37637837252360834
station4server3,0.1947027008722583
station5server1,0.6233460111160827
station5server2,0.47474775129586594
station5server3,0.2955284934592063
station5server4,0.12784034567764488
station5server5,0.031032128889450474
station5server6,0.004607539693529274
station5server7,0.0006571629078639793
station5server8,0.0
