server,busy time
station1server1,0.37274339669371215
station1server2,0.15547943208797138
station1server3,0.03412519078889737
station2server1,0.5947179017378148
station2server2,0.39793775764798267
station2server3,0.1986934438479423
station3server1,0.3690651351780394
station3server2,0.15035788226658023
station3server3,0.03603831519861928
station3server4,0.005267762867714099
station4server1,0.5623835121160273
station4server2,0.3780028095322367
station4server3,0.1894989268569429
station5server1,0.5377227382836007
station5server2,0.3379589354446931
station5server3,0.14505183603228813
