,cycle time,objective function,utilisation
0,57.23531007429927,-2.044869108839598,0.29987909434112525
1,57.012531085085094,-2.1140748070953688,0.30642836585134536
2,57.099935075339864,-2.0396776076474588,0.29913431922364564
3,56.60376219254051,-2.079571578085294,0.3022967614627636
4,56.9543986234636,-1.9958443670418387,0.29450843440995655
5,57.21588327167831,-2.172661869642887,0.3126259924170859
6,57.21104389418763,-2.095551239128114,0.3049068637364575
7,57.19017072815338,-2.138200926430906,0.30913704385667956
8,56.833723176760515,-2.1036154925245283,0.30508442121372037
9,57.94529023895078,-2.1275562236401435,0.309331106095599
10,57.44687283835211,-2.226521048151715,0.3183968928790917
11,57.51392399920806,-2.224443075781932,0.31830084757687327
12,57.16523043914071,-2.1253867001355626,0.30781405407879076
13,57.920261666487484,-2.2019873144481954,0.3167325008889653
14,56.78774248756434,-2.1299953431348366,0.30764577179275754
15,57.289597699359376,-2.044708182613192,0.29995348109358483
16,57.75031054913231,-1.9337123229124675,0.28962174987313394
17,57.398425746291295,-2.065482675279283,0.3022123104384138
18,56.89794939358058,-2.030289305105929,0.29785884616656055
19,57.21550800614117,-2.091653606758686,0.30452454068610385
20,57.733359584913416,-2.1302675244154763,0.3092490184164033
21,57.064601884828555,-2.1246237315720204,0.30757004296524965
22,57.65898154066783,-2.09841964329215,0.3059402668969947
23,57.725674410351914,-2.1088702428230377,0.3070964816328903
24,56.44913807932581,-2.063524600133564,0.30043435681223274
25,57.18314658530348,-2.0443740805043675,0.2997426523592759
26,57.49830732302499,-2.093902305343368,0.30522074273937844
27,56.674566757976294,-2.082874835546729,0.30274509481796674
28,56.950176474367254,-1.996507001959312,0.2945676609865433
29,58.06460594714518,-2.0316424423207105,0.299938587477313
30,56.69057671426858,-2.1395116965328267,0.30843546417706363
31,57.07217754213575,-2.0854173028612824,0.3036620261896878
