server,busy time
station1server1,0.3698333368277759
station1server2,0.15668263343899858
station1server3,0.03501347792513757
station2server1,0.5895653440899384
station2server2,0.39744301954482764
station2server3,0.2000043478934625
station3server1,0.367190130033369
station3server2,0.15099766825461083
station3server3,0.03709606869301081
station3server4,0.005198160475514928
station4server1,0.557569292285996
station4server2,0.37641229794493536
station4server3,0.18893113897233021
station5server1,0.602328676040056
station5server2,0.4297641270867403
station5server3,0.23171773913755417
